seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
16,12,3,G|a|q,0.3,213,213,1,123,176.38,5,1.0,0.31584828328228415,3.890313725871813,2.159186367461324
17,12,3,G|a|q,0.3,78,78,1,171,242.75,5,1.0,0.3117777444878469,4.345980766049689,2.1579424881836538
18,12,3,G|a|q,0.3,53,236,0,201,286.51,5,1.0,0.5497218020665832,3.4243733491697017,2.8846159631186774
19,12,3,G|a|q,0.3,93,93,1,201,285.75,5,1.0,0.29155756348773126,2.9631369113980455,4.20293346994949
20,12,3,G|a|q,0.3,230,230,1,177,252.47,5,1.0,0.32660576945442965,3.618176954783683,3.3150617182585447
21,12,3,G|a|q,0.3,163,23,0,201,285.05,5,1.0,0.6168440996771666,3.730136300586208,2.350143708779072
22,12,3,G|a|q,0.3,230,230,1,185,265.1,5,1.0,0.3179330473370326,3.666297028432873,3.1388365729658783
23,12,3,G|a|q,0.3,228,228,1,201,286.01,5,1.0,0.2852820919399438,4.286543144795762,2.1017936337922225
24,12,3,G|a|q,0.3,110,128,0,201,287.07,5,1.0,0.6470135206448958,4.369138462291265,1.894596523090812
25,12,3,G|a|q,0.3,33,33,1,113,158.84,5,1.0,0.27553784525604724,3.8390409328734276,2.7183527054375007
26,12,3,G|a|q,0.3,120,127,0,193,275.95,5,1.0,0.33962279430226916,3.840027857887019,2.428743700840742
27,12,3,G|a|q,0.3,205,205,1,175,252.6,5,1.0,0.2688074040751762,3.5795823146711485,3.0280594097034257
28,12,3,G|a|q,0.3,90,90,1,146,205.76,5,1.0,0.33372729847054056,4.170075766566385,2.2877590448658123
29,12,3,G|a|q,0.3,83,98,0,201,287.01,5,1.0,0.5588873454176495,4.006356039381136,1.9054999464479239
30,12,3,G|a|q,0.3,181,181,1,155,220.99,5,1.0,0.2811329730225404,3.9462966373634245,2.5951690724538024
31,12,3,G|a|q,0.3,217,165,0,201,289.67,5,1.0,0.85220130759081,3.864651307002197,2.221520892292195
32,12,3,G|a|q,0.3,108,73,0,201,287.34,5,1.0,0.5254817293613876,3.8510184145539497,2.1154188122820834
33,12,3,G|a|q,0.3,136,136,1,174,248.21,5,1.0,0.2318338256986194,4.761908712177345,1.3361322223949597
34,12,3,G|a|q,0.3,246,246,1,186,265.96,5,1.0,0.3088488705224451,4.511102025584013,2.009112831081582
35,12,3,G|a|q,0.3,220,182,0,201,287.91,5,1.0,0.34881490917359437,3.754871318071289,2.9798662173055335
36,12,3,G|a|q,0.3,50,50,1,125,177.63,5,1.0,0.32583888962106944,3.0613566484142507,3.549085676286558
37,12,3,G|a|q,0.3,79,252,0,201,284.58,5,1.0,0.641085650887641,3.5436342522203277,2.8070714587753045
38,12,3,G|a|q,0.3,218,183,0,201,288.9,5,1.0,0.459199302450409,3.7499128473203016,2.72238106757247
39,12,3,G|a|q,0.3,146,44,0,201,288.03,5,1.0,0.5841217803451075,3.947843294794917,2.060300306074632
40,12,3,G|a|q,0.3,9,9,1,122,173.14,5,1.0,0.2861757697769017,3.570174889346208,3.043714789351513
41,12,3,G|a|q,0.3,166,30,0,201,287.8,5,1.0,0.6749953588011941,4.198143696859405,1.8793029147271156
42,12,3,G|a|q,0.3,74,188,0,201,289.36,5,1.0,0.4464394917103988,4.036202753499468,2.742073830842817
43,12,3,G|a|q,0.3,32,32,1,126,183.07,5,1.0,0.2990241655528513,3.7494026913437817,3.1917970445601545
44,12,3,G|a|q,0.3,177,177,1,149,218.45,5,1.0,0.27839430659908,4.117010604792335,2.2705346172200076
45,12,3,G|a|q,0.3,207,207,1,154,226.07,5,1.0,0.3363469664228894,3.7263168423575643,2.6680083005785753
46,12,3,G|a|q,0.3,203,203,1,152,222.11,5,1.0,0.34343606802442983,3.64542006358206,2.7711648058156717
47,12,3,G|a|q,0.3,61,110,0,201,294.31,5,1.0,0.29396157126473,4.182801883523109,2.3324394441665595
