seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
26,16,4,G|a|q|c,0.1,127,127,1,201,373.83,5,1.0,0.0,0.14072859047683098,5.194149145667766,1.001643244097023,-0.0030668271277279877
27,16,4,G|a|q|c,0.1,205,205,1,201,372.43,5,1.0,0.0,0.10385951096721689,4.674349091100941,0.9971150046970734,0.00659807821088558
28,16,4,G|a|q|c,0.1,90,90,1,201,369.32,5,1.0,0.0,0.530029074741046,5.2130128545140515,1.003059851796799,-0.009255995016202608
29,16,4,G|a|q|c,0.1,98,98,1,177,319.49,5,1.0,0.0,0.08464032813802401,4.139967661935006,0.9959392430647181,0.00018808813024777564
30,16,4,G|a|q|c,0.1,181,181,1,193,345.79,5,1.0,0.0,0.1289241212664167,3.00917084484748,0.9764208433352483,0.017832667487064583
31,16,4,G|a|q|c,0.1,165,165,1,201,362.18,5,1.0,0.0,0.1715175845071419,4.965818694188283,0.9990337734020623,-0.0013346085040760226
32,16,4,G|a|q|c,0.1,73,73,1,136,253.21,5,1.0,0.0,0.11240181910014013,4.473199898018784,0.997720149169362,-0.00443662167642921
33,16,4,G|a|q|c,0.1,136,136,1,201,356.65,5,1.0,0.0,0.20151610970813544,4.349546799327352,0.9910176860012052,0.004714663480054678
34,16,4,G|a|q|c,0.1,246,246,1,201,366.88,5,1.0,0.0,0.10011065225096204,5.029135580617287,1.0008252122868255,-0.002031710675123296
35,16,4,G|a|q|c,0.1,182,182,1,201,372.27,5,1.0,0.0,0.0950353584529318,5.7410188414357854,1.0046285294304644,-0.005000508225823731
36,16,4,G|a|q|c,0.1,50,50,1,193,353.84,5,1.0,0.0,0.10549074562675075,3.8258170011918082,0.9921050057047551,0.007957060020150574
37,16,4,G|a|q|c,0.1,252,252,1,201,367.23,5,1.0,0.0,0.19824204495699224,5.379230352862099,0.997894137249606,-0.010811755510725989
38,16,4,G|a|q|c,0.1,183,183,1,201,361.06,5,1.0,0.0,0.10641626540543579,5.115856556136379,1.0020643089462102,-0.005389590537029747
39,16,4,G|a|q|c,0.1,44,44,1,201,355.64,5,1.0,0.0,0.2516687190541027,4.934244621880582,1.001725750950292,-0.003251494898142609
40,16,4,G|a|q|c,0.1,9,9,1,201,363.75,5,1.0,0.0,0.1853063585767452,5.229267624651213,0.9898228916595937,-0.010719396034539173
41,16,4,G|a|q|c,0.1,30,30,1,180,326.34,5,1.0,0.0,0.09975150706576308,5.041133113739921,1.0009515518106271,-0.0028393264785008185
