seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
25,15,3,G|a|q,0.9,33,33,1,201,510.07,5,1.0,0.9015189034569906,4.726187015383981,0.9980936034152736
26,15,3,G|a|q,0.9,127,127,1,155,390.7,5,1.0,0.9002146759309945,4.997201873496908,0.9999830070703812
27,15,3,G|a|q,0.9,205,205,1,201,499.42,5,1.0,0.9006502316641503,4.935377367995011,0.9995534591852583
28,15,3,G|a|q,0.9,90,90,1,201,501.02,5,1.0,0.9005277223933553,4.877605137759527,0.9991621569698529
29,15,3,G|a|q,0.9,98,98,1,201,501.58,5,1.0,0.9018669263581062,4.794497525766699,0.9984456636417611
30,15,3,G|a|q,0.9,181,181,1,201,499.55,5,1.0,0.9042256936080633,4.707591925563636,0.9978307457778708
31,15,3,G|a|q,0.9,165,165,1,201,501.76,5,1.0,0.9020233967809391,4.699805377016549,0.997778329379351
32,15,3,G|a|q,0.9,73,73,1,201,499.48,5,1.0,0.9004312155382919,4.982193391692997,0.9998746025947153
33,15,3,G|a|q,0.9,136,136,1,201,490.37,5,1.0,0.900695831855225,4.693931132360096,0.9979417721365919
34,15,3,G|a|q,0.9,246,246,1,201,480.63,5,1.0,0.9001137694130762,4.98811460768896,0.9999373059147225
35,15,3,G|a|q,0.9,182,182,1,112,266.6,5,1.0,0.9000882949046942,4.997842906749769,0.9995540909889121
36,15,3,G|a|q,0.9,50,50,1,201,476.65,5,1.0,0.9003660807409425,4.987123639234962,0.9998888795939159
37,15,3,G|a|q,0.9,252,252,1,201,476.96,5,1.0,0.9005613519120444,4.987661767980608,0.99991887369625
38,15,3,G|a|q,0.9,183,183,1,201,475.82,5,1.0,0.9001885265902563,4.980543220871585,0.9998407678751902
39,15,3,G|a|q,0.9,44,44,1,201,475.96,5,1.0,0.9015581432375899,4.882662490269722,0.99916865744073
40,15,3,G|a|q,0.9,9,9,1,201,472.18,5,1.0,0.9007388042818079,4.890451193133784,0.9992416588546849
41,15,3,G|a|q,0.9,30,30,1,201,470.31,5,1.0,0.9082861958359465,4.265937860991401,0.9932829801110687
42,15,3,G|a|q,0.9,188,188,1,201,475.19,5,1.0,0.9006224794045803,4.933145245629099,0.9995274274918392
43,15,3,G|a|q,0.9,32,32,1,201,477.51,5,1.0,0.9004076894687199,4.990083368546379,0.9999399573407302
44,15,3,G|a|q,0.9,177,177,1,201,478.54,5,1.0,0.9005549895968402,4.891502713533037,0.9992336346495014
