unknown_params,G_true,method,n_seeds,accuracy,mean_steps,mean_wall_time,G_rmse,G_bias,G_mean_fit,a_rmse,a_bias,a_mean_fit,q_rmse,q_bias,q_mean_fit,c_rmse,c_bias,c_mean_fit
G|a|q|c,0.3,u_bar,50,0.72,188.44,404.72020000000003,0.15164339753385706,-0.059693899906036095,0.24030610009396394,0.6154211541907143,-0.1953706535175104,4.804629346482489,0.6331747379317668,0.21911234301016078,1.2191123430101607,0.847476489635109,-0.0903365547893199,-0.0903365547893199
G|a|q|c,0.3,x,50,0.38,173.12,225.06900000000002,0.20622846073051773,0.08016217847755541,0.3801621784775554,1.1094536948204028,-1.054689134919668,3.945310865080332,1.598083267843444,1.4908225647160847,2.4908225647160847,1.2276346669784592,-0.44745519469273054,-0.44745519469273054
G|a|q|c,0.5,u,50,1.0,199.2,530.1275999999999,0.03231441308306891,0.027539411352638536,0.5275394113526385,0.4418619375211092,-0.1436072945381607,4.85639270546184,0.006440926108908274,-0.0018319923264371529,0.9981680076735628,0.010042095823218572,0.0016326837970085956,0.0016326837970085956
G|a|q|c,0.5,u_bar,50,0.86,148.48,333.98800000000006,0.1586751835727343,-0.05795542214408545,0.44204457785591456,0.4687597328550512,-0.1134177103105427,4.886582289689457,0.395227255854389,0.06894944633071312,1.0689494463307132,0.6962599433026474,0.006928946255514891,0.006928946255514891
G|a|q|c,0.5,x,50,0.86,138.14,180.60840000000005,0.14180015244378752,-0.039300364115092,0.46069963588490803,1.1170483054974503,-1.0612237484510532,3.9387762515489464,1.6452324247928956,1.530473732830055,2.530473732830055,1.1887452260886602,-0.5234674058329363,-0.5234674058329363
G|a|q|c,0.7,u,50,1.0,201.0,356.53899999999993,0.025377453174039666,0.022659408814183192,0.7226594088141831,0.4601062662347551,-0.1996785771429538,4.8003214228570465,0.006256565001970794,-0.0022888522159551193,0.9977111477840448,0.007703067457681069,0.0023452416130561793,0.0023452416130561793
G|a|q|c,0.7,u_bar,50,0.88,125.14,167.157,0.19600359723388483,-0.04811281066087801,0.651887189339122,0.37694404721040037,-0.05958396522908399,4.940416034770916,0.36359507764455057,-0.019386373160750214,0.9806136268392498,0.7326875715598853,0.1312717990156633,0.1312717990156633
G|a|q|c,0.7,x,50,0.88,123.86,188.71359999999996,0.203580164361346,-0.05713634136194968,0.6428636586380502,1.114576445036787,-1.0646156621668543,3.9353843378331455,1.6307302828578463,1.5257460748977647,2.5257460748977647,1.1552606137322705,-0.46597548129035254,-0.46597548129035254
G|a|q|c,0.9,u,50,1.0,200.9,332.18699999999995,0.016550616912987526,0.015138908348592954,0.915138908348593,0.6066886583757765,-0.21657156343157893,4.783428436568421,0.014685265295327387,-0.0035579547080355376,0.9964420452919645,0.017851347855379666,0.0038900881642943367,0.0038900881642943367
G|a|q|c,0.9,u_bar,50,0.9,117.4,158.9464,0.22991265189740143,-0.06414039529385696,0.8358596047061431,0.3858488739995504,0.03963664273836656,5.039636642738367,0.22143668047185794,-0.01596007537386176,0.9840399246261381,0.6649193572873415,0.1369366557072488,0.1369366557072488
G|a|q|c,0.9,x,50,0.9,110.66,135.96940000000004,0.24842611493976322,-0.07368417199587858,0.8263158280041215,1.1020701659504357,-1.039151859783493,3.9608481402165068,1.6242300459106491,1.4939937250873976,2.493993725087398,1.1344302204852847,-0.4605434128172894,-0.4605434128172894
