seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
67,15,3,G|a|q,0.9,211,211,1,201,471.71,5,1.0,0.8993427278022994,4.961826609680895,1.00075930830068
68,15,3,G|a|q,0.9,203,203,1,201,483.73,5,1.0,0.9037327913292498,4.941313543755867,0.9966002811969205
69,15,3,G|a|q,0.9,0,0,1,94,222.55,5,1.0,0.8979181263937588,4.816900013143058,1.0030439393544457
70,15,3,G|a|q,0.9,92,92,1,198,471.22,5,1.0,0.899601985078794,5.00051560775937,1.0004877838410682
71,15,3,G|a|q,0.9,49,49,1,191,456.46,5,1.0,0.8991443857554186,4.90627008274817,1.001845729270174
72,15,3,G|a|q,0.9,165,165,1,201,469.74,5,1.0,0.8996235069521064,4.8526672741775165,1.0007535475135025
73,15,3,G|a|q,0.9,76,76,1,148,345.69,5,1.0,0.8998990693426462,4.88724788008377,1.00011500572684
74,15,3,G|a|q,0.9,175,175,1,106,256.94,5,1.0,0.9009592479614532,4.908423801219577,0.9985659524526777
75,15,3,G|a|q,0.9,32,32,1,82,192.43,5,1.0,0.8941828819151929,4.997966452722858,1.008729801001494
76,15,3,G|a|q,0.9,112,112,1,110,266.7,5,1.0,0.9708865829321642,4.814928719144374,0.9050308314992207
77,15,3,G|a|q,0.9,255,255,1,140,338.53,5,1.0,0.8962168970956218,4.907824717096504,1.0056674612402015
78,15,3,G|a|q,0.9,185,185,1,123,299.87,5,1.0,0.9023938231323043,4.866833911682897,0.9979983806405236
79,15,3,G|a|q,0.9,136,136,1,168,403.96,5,1.0,0.8973066092826877,4.986771879310599,1.0045486760999978
80,15,3,G|a|q,0.9,107,107,1,158,371.46,5,1.0,0.8937752315407239,5.041503159897925,1.0092346578793676
81,15,3,G|a|q,0.9,189,189,1,123,290.88,5,1.0,0.893910738739805,4.985904880266732,1.0097860031001322
82,15,3,G|a|q,0.9,136,136,1,201,468.11,5,1.0,0.8958933694949608,4.994073819015083,1.0066486082313582
83,15,3,G|a|q,0.9,180,180,1,201,465.17,5,1.0,0.8969446236884322,4.972649230671531,1.004164976752192
84,15,3,G|a|q,0.9,45,142,0,201,467.03,5,1.0,0.6996178923242131,5.764076866484096,0.3610559082464939
85,15,3,G|a|q,0.9,18,18,1,108,250.23,5,1.0,0.8986982546388761,4.904232826778387,1.0025349524921885
86,15,3,G|a|q,0.9,165,165,1,114,266.94,5,1.0,0.8978075961678096,4.923956806742657,1.003434057739469
87,15,3,G|a|q,0.9,224,224,1,201,466.29,5,1.0,0.8929127128189226,4.801415848618461,1.0094852191132588
88,15,3,G|a|q,0.9,43,43,1,201,465.85,5,1.0,0.9003406164609644,4.91451085280784,0.9989840894022282
89,15,3,G|a|q,0.9,66,66,1,183,421.4,5,1.0,0.8984939448794969,4.916696372140869,1.0024238576581324
90,15,3,G|a|q,0.9,16,16,1,76,171.0,5,1.0,0.8967922232266036,4.983189733483455,1.0042897175325243
91,15,3,G|a|q,0.9,123,123,1,108,247.46,5,1.0,0.8946274183406524,4.9549431121433605,1.007836061159772
92,15,3,G|a|q,0.9,229,229,1,201,462.95,5,1.0,0.8998618483034455,4.8733645525170175,1.000305458648695
93,15,3,G|a|q,0.9,256,256,1,201,467.65,5,1.0,0.9232347505142173,5.12895324311276,0.9709660272798476
94,15,3,G|a|q,0.9,73,73,1,88,202.57,5,1.0,0.8917815407114521,4.894850419565966,1.0128163357350362
95,15,3,G|a|q,0.9,91,91,1,108,244.59,5,1.0,0.8937990676116455,4.97126736109709,1.0092910269122812
96,15,3,G|a|q,0.9,113,113,1,201,464.44,5,1.0,0.8978758581960529,4.9482214896816465,1.0037032275128321
97,15,3,G|a|q,0.9,12,12,1,131,298.93,5,1.0,0.8985346004505255,5.010479660121745,1.0034494003620997
